Rang;Type de document;Nombre de recherches;Titre;Auteur
1;Nouveauté;618;Rien ne s'oppose à la nuit : roman;Vigan, Delphine de
2;Livre ado;558;Hunger games [Texte imprimé];Collins, Suzanne
3;Nouveauté;519;La couleur des sentiments;Stockett, Kathryn
4;Livre ado;371;L'embrasement;Collins, Suzanne
5;Nouveauté;363;Limonov;Carrère, Emmanuel
6;Nouveauté;329;1Q84. 1. Avril-juin;Murakami, Haruki
7;Nouveauté;322;1Q84. 3. Octobre-décembre;Murakami, Haruki
8;Livre ado;311;La révolte;Collins, Suzanne
9;Livre adulte;301;La liste de mes envies;Delacourt, Grégoire
10;Nouveauté;261;1Q84. 2. Juillet-septembre;Murakami, Haruki
11;Livre adulte;239;La reine dans le palais des courants d'air [Texte imprimé];Larsson, Stieg
12;;229;Le sermon sur la chute de Rome;Ferrari, Jérôme
13;;220;Journal d'un corps;Pennac, Daniel
14;Livre adulte;196;La vérité sur l'affaire Harry Quebert : roman;Dicker, Joël
15;Nouveauté;189;Le vieux qui ne voulait pas fêter son anniversaire : roman;Jonasson, Jonas
16;Nouveauté;189;Dans les forêts de Sibérie : février-juillet 2010;Tesson, Sylvain
17;Livre adulte;181;L'art français de la guerre [Texte imprimé];Jenni, Alexis
18;Nouveauté;173;Métronome [Texte imprimé] : l'histoire de France au rythme du métro parisien;Deutsch, Lorant
19;Livre adulte;169;Demeures de la nuit : nouvelles;Astruc, Jacques
20;Bande dessinée adulte;167;Quai d'Orsay : chroniques diplomatiques. 1;Blain, Christophe
21;Livre adulte;164;7 ans après...;Musso, Guillaume
22;;161;Le grand Coeur [Texte imprimé] : roman;Rufin, Jean-Christophe
23;;158;Méditer, jour après jour : 25 leçons pour vivre en pleine conscience;André, Christophe
24;Nouveauté musique;155;21 [Enregistrement sonore];Adele
25;Nouveauté;148;Strip Hotel;Astruc, Jacques
26;;147;Chroniques de Jérusalem;Delisle, Guy
27;;146;Peste & choléra : roman;Deville, Patrick
28;Nouveauté;143;Du domaine des murmures;Martinez, Carole
29;Livre adulte;142;La délicatesse : roman;Foenkinos, David
30;;135;Une année studieuse;Wiazemsky, Anne
31;;127;L'appel de l'ange : roman;Musso, Guillaume
32;;127;Quai d'Orsay : chroniques diplomatiques. 2;Lanzac, Abel
33;Nouveauté;127;Les lisières;Adam, Olivier
34;Livre jeunesse;126;Une soupe au caillou [Texte imprimé];Vaugelade, Anaïs
35;;125;Cinquante nuances de Grey : roman;James, E. L.
36;Livre adulte;124;Une femme fuyant l'annonce : roman;Grossman, David
37;;123;La sirène;Läckberg, Camilla
38;Livre adulte;121;No et moi [Texte imprimé] : roman;Vigan, Delphine de
